楽曲ID,難易度ID,ID_DifN,ノーツ数,譜面再生時間,累計基礎係数,s1係数,s2係数,s3係数,s4係数,s5係数,s6係数,s外係数,s6前s外係数,s1始点,s1終点,s2始点,s2終点,s3始点,s3終点,s4始点,s4終点,s5始点,s5終点,s6始点,s6終点,SF始点,SF終点,s1係数(CB無),s2係数(CB無),s3係数(CB無),s4係数(CB無),s5係数(CB無),s6係数(CB無),s外係数(CB無)
300,4,300_4,779,113.05785,777.9,35.8,39.54,35.259,36.608,41.07,40.704,575.958,493.314,55,97,179,213,294,330,431,463,580,609,661,700,419,496,35.8,39,34.3,35.2,39,38.4,556.2
300,5,300_5,937,113.05785,928.6,39.1,42.964,35.535,45.675,62.06,48.816,694.22,599.357,61,100,195,234,344,382,520,560,708,743,801,845,504,596,39.1,42.2,34.5,43.5,58,45.2,666.1
301,1,301_1,520,145.2,180.1,5.8,7.7,10.403,9.064,10.192,5.25,135.265,131.8,33,45,65,96,129,140,311,326,435,450,509,513,307,357,5.8,7.7,10.3,8.8,9.8,5,132.7
301,2,301_2,566,145.2,263.9,9.6,7.724,17.17,15.965,17.68,11.55,190.093,182.428,35,49,75,106,143,157,350,368,471,485,548,556,343,398,9.6,7.7,17,15.5,17,11,186.1
301,3,301_3,1184,145.2,882.6,27.775,13.668,33.681,40.874,41.246,61.38,712.214,656.334,105,137,222,265,331,365,741,778,980,1016,1128,1156,725,841,27.5,13.4,32.7,38.2,37.7,55.8,677.3
301,4,301_4,1491,145.2,1242.6,40.4,31.169,45.864,60.604,63.69,66.99,1013.767,953.377,131,170,299,361,437,484,906,956,1206,1249,1380,1436,885,1032,40,30.3,42.1,55.6,56.9,60.9,956.8
301,5,301_5,1638,145.2,1428.3,51.712,30.797,48.984,61.16,63.69,74.58,1192.964,1124.984,139,187,323,381,446,496,1018,1071,1330,1376,1525,1582,998,1159,50.2,29.9,46.1,55.6,55.9,67.8,1122.8
302,1,302_1,321,135.71429,146.5,4.7,4.9,6.06,5.454,6.767,10.812,109.451,78.692,62,72,86,98,123,128,149,166,184,196,231,244,226,257,4.7,4.9,6,5.4,6.7,8.6,110.2
302,2,302_2,561,135.71429,269.8,8.06,11.009,15.81,6.755,9.064,11.544,214.366,129.647,99,115,165,183,229,246,285,314,350,374,423,441,411,466,8,10.9,14.5,5.6,8.8,11.1,210.9
302,3,302_3,750,135.71429,477.8,11.918,15.81,25.627,10.712,26.52,26.88,376.493,239.559,144,171,227,255,299,331,367,389,446,478,535,559,527,601,11.8,15.5,22.9,9.4,24.5,23.6,370.1
302,4,302_4,1067,135.71429,873.3,26.622,29.355,42.328,17.64,46.247,44.742,711.336,457.392,216,260,331,363,433,477,543,575,668,704,772,812,761,866,26.1,28.5,39.7,15.8,42.6,41.7,678.9
302,5,302_5,1328,135.71429,1187.5,48.45,41.094,60.06,26.286,62.532,59.392,961.872,615.802,229,280,378,423,525,581,657,714,805,853,955,1011,941,1072,46.5,39.7,55.2,22.7,57.9,53.4,912.1
303,1,303_1,323,144,230.6,5,6.4,5.8,13.13,5.162,6.528,190.925,130.945,34,38,60,78,85,97,162,170,197,202,228,246,160,191,5,6.4,5.8,13,5.1,6.4,188.9
303,2,303_2,632,144,413.4,17,8.888,13.18,17.51,17.784,9.738,340.568,222.315,51,67,125,167,193,223,340,352,404,421,483,512,338,400,17,8.8,13,17,17.1,9.3,331.2
303,3,303_3,855,144,989.7,19.796,18.29,20.4,58.24,23.73,22.088,863.544,593.564,113,146,194,211,245,264,401,428,527,554,659,704,395,479,19.6,18,20,56,22.6,20.8,832.7
303,4,303_4,1098,144,1383.4,33.128,33.66,35.02,42.945,39.483,30.672,1239.522,817.792,139,178,247,279,331,364,512,573,744,788,846,877,496,604,32.8,33,34,40.9,36.9,28.4,1177.4
303,5,303_5,1409,144,1699.4,54.06,34.05,28.136,66.904,56.244,38.72,1525.349,1041.019,230,295,374,406,482,516,674,733,935,991,1048,1082,660,799,53,33,26.9,62.8,51.6,35.2,1436.9
304,1,304_1,207,103.62162,111,8,4,3.8,8.03,4.04,8.686,74.982,57.897,9,16,29,32,41,51,96,103,123,126,159,172,157,175,8,4,3.8,8,4,8.6,74.6
304,2,304_2,321,103.62162,265.6,18,15,11.918,18.18,11.526,18.36,175.412,135.596,17,32,54,67,102,120,176,191,208,221,249,264,245,276,18,15,11.8,18,11.3,18,173.5
304,3,304_3,631,103.62162,518.4,30.6,20.604,19.34,26.471,23.376,36.106,376.027,272.003,32,60,105,128,197,215,305,332,381,417,480,510,467,529,30.6,20.4,19,25.7,22.6,34.6,365.5
304,4,304_4,910,103.62162,898.4,50.5,46.237,30.88,47.945,44.939,56.282,659.253,475.592,46,92,160,208,299,328,455,501,566,614,703,754,689,778,50.5,45.7,30,46.1,42.7,52.6,630.8
304,5,304_5,1066,103.62162,1161,60.09,57.457,39.14,63.735,73.784,84.456,841.129,595.413,55,106,184,241,353,390,519,573,653,714,819,877,805,910,60,56.5,38,60.7,69.5,78.2,798.1
304,6,304_6,1572,103.62162,1182.2,52.333,60.635,44.28,69.871,68.674,78.43,883.456,636.946,78,148,263,335,478,523,730,793,900,1014,1210,1303,1182,1336,51.9,59.2,42.4,65.3,63,71.3,829.1
305,1,305_1,183,128,98.7,3,3,6.3,6.6,6.06,4.242,69.797,59.596,5,7,13,15,41,49,78,89,106,111,139,153,39,56,3,3,5.3,5.6,5,4,72.8
305,2,305_2,298,128,199.1,8.6,8.6,10.706,11.211,15.21,4.284,142.235,117.347,9,22,43,56,101,116,157,168,194,206,240,254,97,125,7.6,7.6,9.6,10.1,14,3.2,147
305,3,305_3,489,128,428,16.2,15.2,12.827,18.768,39.655,21.092,312.296,271.092,21,38,73,89,162,180,246,265,319,346,400,424,153,200,14.2,13.2,12.7,17.4,34.5,18.3,317.7
305,4,305_4,726,128,684.2,18.2,19.2,28.928,34.505,52.624,38.175,513.237,429.72,15,34,77,97,197,228,337,370,446,481,566,606,184,255,16.2,17.2,26.4,32.5,47.6,34.3,510
305,5,305_5,866,128,824,19.1,19.151,37.842,37.544,54.844,53.5,634.146,538.792,20,39,87,106,230,276,424,467,568,614,716,762,212,298,17.1,17.1,36.1,35.1,50.1,48,620.5
306,1,306_1,240,137.37931,109.7,5.4,4,8.3,4.713,4.04,7.373,76.604,59.764,9,26,45,48,61,70,94,104,131,134,191,200,189,212,5.4,4,8.3,4.7,4,7.3,76
306,2,306_2,347,137.37931,204.9,7.6,7.6,12.41,6.666,7.446,13.39,152.774,113.634,23,35,57,69,87,101,147,167,256,265,303,313,299,332,7.6,7.6,12.4,6.6,7.3,13,150.4
306,3,306_3,714,137.37931,482.2,21.03,13.13,14.28,17.086,21.13,15.037,395.566,311.875,69,101,149,168,211,233,298,324,495,529,595,619,587,657,21,13,14,16.6,20.2,14.2,383.2
306,4,306_4,887,137.37931,789.2,37.034,24.931,25.978,37.544,42.452,27.606,624.922,498.056,84,121,175,211,279,307,411,448,589,619,730,762,722,808,36.8,24.6,25.4,36.1,40.2,25.8,600.3
306,5,306_5,1117,137.37931,1028.7,41.006,34.272,39.552,42.945,49.434,42.163,831.372,651.19,120,166,234,279,356,397,518,558,708,743,899,943,887,997,40.6,33.6,38.4,40.9,46.2,38.7,790.3
307,1,307_1,276,142.62857,155.8,4,4.7,9.6,8.08,4.747,9.792,116.354,86.162,5,8,34,44,82,95,110,117,142,152,211,224,207,232,4,4.7,9.6,8,4.7,9.6,115.2
307,2,307_2,413,142.62857,247.2,8.6,8.6,14.14,9.696,7.446,14.42,188.543,136.692,15,28,66,79,144,156,170,193,228,246,331,343,325,365,8.6,8.6,14,9.6,7.3,14,185.1
307,3,307_3,861,142.62857,924.2,30,22.523,29.973,34.87,40.32,42.051,764.708,592.754,34,54,159,183,316,341,369,416,510,545,709,736,696,782,30,22.3,29.1,33.7,38.4,39.3,731.4
307,4,307_4,1259,142.62857,1427.2,46,38.885,48.052,50.348,67.098,69.96,1188.317,921.567,38,72,151,198,394,434,477,518,634,687,1024,1068,1004,1126,46,38.5,46.3,48.2,63.3,63.6,1121.3
307,5,307_5,1394,142.62857,1807.3,63,49.917,74.362,59.452,74.467,89.21,1510.71,1167.73,41,87,180,234,458,513,572,626,758,810,1134,1190,1105,1243,63,49.1,71.3,56.4,69.5,81.1,1416.9
308,1,308_1,359,130.90909,151.5,6.8,6.8,8.686,8.116,4.794,8.262,110.049,78.968,20,33,48,61,132,144,184,209,220,230,275,292,273,306,6.8,6.8,8.6,8,4.7,8.1,108.5
308,2,308_2,476,130.90909,330,12.1,14.3,17.17,12.24,9.137,15.141,255.564,199.131,50,62,82,98,164,176,224,253,293,318,355,375,350,395,12.1,14.3,17,12,8.9,14.7,251
308,3,308_3,713,130.90909,620.9,19.897,16.766,39.14,32.864,27.22,34.86,472.047,338.758,113,136,169,190,320,343,404,428,495,514,576,600,570,640,19.7,16.6,38,31.6,26,33.2,455.8
308,4,308_4,1073,130.90909,996.8,35.047,33.048,61.88,51.03,42.801,56.7,766.256,562.499,139,177,228,263,403,443,554,594,677,720,833,879,821,925,34.7,32.4,59.5,48.6,40.3,52.5,728.8
308,5,308_5,1187,130.90909,1214.2,37.573,43.818,70.26,61.798,53.204,59.078,957.717,705.387,168,212,269,318,483,529,643,690,799,851,956,998,947,1064,37.1,42.8,67.2,58.3,49.3,54.2,905.3
309,1,309_1,265,143.76113,112.4,3,3,3.6,3,8.686,3.57,88.336,77.014,21,23,29,31,37,45,57,59,123,136,210,226,120,144,3,3,3.6,3,8.6,3.5,87.7
309,2,309_2,330,143.76113,178.8,6,6,4.6,6,10.403,8.364,139.121,117.014,25,30,41,46,57,66,81,86,163,175,250,268,159,191,6,6,4.6,6,10.3,8.2,137.7
309,3,309_3,453,143.76113,418.9,13,13,12.221,13.13,17.952,30.9,326.134,271.808,43,54,74,85,105,115,138,149,218,240,370,387,203,247,13,13,12.1,13,17.6,30,320.2
309,4,309_4,727,143.76113,690.3,24.2,24.442,23.381,23.766,32.24,43.46,540.905,452.545,63,87,125,149,185,205,250,274,373,414,611,635,358,429,24.2,24.2,23.1,23.3,31.2,41,523.3
309,5,309_5,844,143.76113,907.8,27.14,27.371,27.54,23.64,39.104,51.681,745.978,629.533,78,104,152,178,227,250,297,318,442,493,709,745,424,505,27.1,27.1,27,23,37.6,48.3,717.7
310,1,310_1,361,127.57895,130.4,5.4,4,4,6.666,4.04,3.673,104.335,76.422,23,40,61,64,96,99,123,152,175,178,293,301,292,326,5.4,4,4,6.6,4,3.6,102.8
310,2,310_2,491,127.57895,266.2,7.4,11.389,14.039,27.336,8.16,19.284,184.203,134.075,48,67,96,112,149,167,207,235,269,276,398,413,397,444,7.4,11.3,13.9,26.8,8,18.6,180.2
310,3,310_3,733,127.57895,493.8,12.5,20.402,34.884,29.252,18.042,27.75,368.106,259.18,48,100,152,178,226,258,313,343,392,421,574,603,568,641,12.5,20.2,34.2,28.4,17.4,26.4,354.7
310,4,310_4,1011,127.57895,762.1,39.626,33.846,42.105,42.432,30.45,40.146,567.952,409.227,77,128,193,231,282,321,406,449,517,545,784,823,773,873,39.4,33.3,41.2,40.8,29,37.3,541.1
310,5,310_5,1088,127.57895,930,42.358,46.41,66.538,51.792,40.97,52.488,675.003,492.002,93,143,211,252,333,377,454,496,564,602,850,895,839,944,42,45.5,64.6,49.8,39,48.6,640.5
310,6,310_6,1396,127.57895,1074,35.35,46.144,76.72,65.73,40.924,77.33,800.425,528.725,101,171,261,304,369,420,553,597,684,752,1080,1131,1071,1210,35,45.2,74.3,62.6,38.4,70.3,748.2
311,1,311_1,162,144,113.9,4,4,7.3,2.7,7.272,4.04,85.112,71.376,5,8,17,20,41,49,67,75,110,118,139,142,108,123,4,4,7.3,2.7,7.2,4,84.7
311,2,311_2,273,144,202.6,7,7,8,4.444,14.97,7.14,155.721,132.669,17,23,41,47,63,69,103,119,183,204,239,245,181,207,7,7,8,4.4,14.8,7,154.4
311,3,311_3,457,144,376.1,14,11.2,14.342,18.687,15.45,14.48,294.557,244.523,19,31,67,79,113,126,182,202,323,346,393,406,318,361,14,11.2,14.2,18.5,15,14,289.2
311,4,311_4,691,144,707.8,29,19.291,28.927,29.149,26.21,29.85,566.823,464.735,27,53,114,133,188,216,310,336,476,502,574,603,465,532,29,19.1,28.5,28.3,25.2,28.4,549.3
311,5,311_5,852,144,873.3,32.2,24.442,32.844,36.541,31.902,39.59,709.129,591.758,37,68,143,168,241,270,387,420,590,621,708,740,579,664,32.2,24.2,32.2,35.3,30.2,37,682.2
312,1,312_1,336,140.57662,108.6,4.4,3,3,3.514,6.732,3.06,86.163,75.918,23,39,59,61,74,76,89,114,217,228,269,271,215,246,4.4,3,3,3.5,6.6,3,85.1
312,2,312_2,453,140.57662,220.4,10.7,12.322,12.322,11.424,10.506,6.18,160.931,149.521,64,80,116,129,165,178,214,226,308,319,382,387,306,350,10.7,12.2,12.2,11.2,10.2,6,157.9
312,3,312_3,630,140.57662,464.9,22,21.412,21.412,15.606,17.422,6.72,370.872,334.308,56,75,112,130,172,190,234,251,396,419,533,551,390,452,22,21.2,21.2,15.3,16.8,6.4,362
312,4,312_4,945,140.57662,655.7,28.422,25.979,26.112,29.355,31.154,17.712,522.355,481.684,97,133,187,214,265,292,341,380,584,626,822,858,573,666,28.2,25.6,25.6,28.5,29.5,16.4,501.9
312,5,312_5,1090,140.57662,968.5,44.44,40.392,41.818,30.81,42.158,33.572,781.098,732.751,113,155,230,270,348,390,468,508,717,759,945,990,701,809,44,39.6,40.6,29.6,39.4,30.8,744.5
313,1,313_1,193,135.81395,118.4,7,3,3,6.06,6.363,7.373,86.245,74.428,9,14,53,55,63,65,105,110,128,134,158,166,103,121,7,3,3,6,6.3,7.3,85.8
313,2,313_2,373,135.81395,271.3,12,8.9,9.696,10.2,9.792,13.596,210.976,180.9,19,29,80,96,145,159,228,237,270,284,322,334,224,260,12,8.9,9.6,10,9.6,13.2,208
313,3,313_3,642,135.81395,493.1,16.9,16.059,15.81,19.558,32.344,20.265,386.343,320.586,39,63,174,197,258,277,387,410,475,491,559,583,378,440,16.9,15.9,15.5,18.9,31.1,19.3,375.5
313,4,313_4,905,135.81395,816.4,26.3,25.194,25.235,31.605,50.056,35.281,657.741,555.915,57,92,241,271,361,389,543,581,676,707,787,823,528,618,26.3,24.7,24.5,30.1,47.1,32.8,630.9
313,5,313_5,1121,135.81395,1094.2,39.841,41.349,33.28,39.22,55.188,42.78,899.597,757.877,72,115,273,315,436,476,655,699,820,855,961,1007,639,751,39.7,39.4,32,37,51.1,39.2,855.8
314,1,314_1,419,112.81106,129.2,6.3,4,7.777,8.585,6.528,7.548,90.31,62.466,27,44,56,59,134,156,174,185,205,241,268,296,132,171,6.3,4,7.7,8.5,6.4,7.4,88.9
314,2,314_2,517,112.81106,222,10.3,18.18,14.076,18.972,8.755,7.521,148.517,115.201,44,65,103,116,207,233,258,277,308,338,375,402,201,250,10.3,18,13.8,18.6,8.5,7.3,145.5
314,3,314_3,713,112.81106,483.7,20.6,24.644,40.891,42.527,18.928,10.815,340.137,252.461,32,56,114,138,301,337,380,420,465,493,543,582,285,353,20.6,24.4,39.7,41,18.2,10.3,329.5
314,4,314_4,932,112.81106,655.2,32.4,39.445,44.2,48.405,31.795,14.633,470.196,357.945,59,94,178,230,418,457,510,549,596,631,693,748,404,495,32.4,38.9,42.5,46.1,30.1,13.7,451.5
314,5,314_5,1105,112.81106,876.6,42.654,48.144,51.975,51.94,51.039,50.004,625.657,484.172,88,133,231,294,501,544,606,646,703,745,829,886,488,596,42.4,47.2,49.5,49,47.7,46.3,594.5
315,1,315_1,469,156.95532,177.8,4.7,4,4.545,5.1,10.712,9.984,142.311,116.831,45,55,89,92,105,131,218,222,348,360,407,421,341,385,4.7,4,4.5,5,10.4,9.6,139.6
315,2,315_2,731,156.95532,409.7,13.4,16.564,7.956,16.48,18.375,12.508,337.094,294.74,69,94,175,194,249,290,383,398,547,568,620,656,538,610,13.4,16.4,7.8,16,17.5,11.8,326.8
315,3,315_3,1175,156.95532,878.3,27.604,20.094,34.224,31.69,27,41.856,739.068,628.368,98,133,237,271,381,411,500,530,829,860,953,1000,810,927,27.4,19.7,33.1,30.2,25,38.4,704.5
315,4,315_4,1804,156.95532,1594.2,50.694,47.424,68.047,62.022,70.95,66.55,1342.027,1144.137,241,292,441,500,652,710,865,930,1339,1392,1531,1600,1314,1493,49.7,45.6,64.1,57.2,64.5,60.5,1252.6
315,5,315_5,2362,156.95532,2279.6,54.283,90.564,83.756,95.92,126.5,93.94,1913.518,1648.748,281,346,550,624,850,923,1137,1218,1756,1843,2026,2109,1724,1959,52.9,86,77.3,87.2,115,85.4,1775.8
316,1,316_1,384,127.2,166.8,5,6.5,10.706,9.393,7.344,9.27,120.949,92.315,45,49,61,80,152,166,184,195,263,289,305,313,303,339,5,6.5,10.6,9.3,7.2,9,119.2
316,2,316_2,539,127.2,309.2,13,16.261,13.668,10.914,19.776,11.856,229.787,188.971,51,61,113,127,212,235,260,284,343,371,414,437,410,460,13,16.1,13.4,10.7,19.2,11.4,225.4
316,3,316_3,838,127.2,516.9,20.616,25.296,19.776,27.976,14.49,19.411,405.87,323.78,84,117,211,242,339,375,425,455,553,599,666,704,659,741,20.5,24.8,19.2,26.9,13.8,18.3,393.4
316,4,316_4,1120,127.2,809,36.865,45.219,33.176,41.685,33.625,32.564,621.423,493.572,132,171,294,332,442,497,555,594,675,745,882,938,872,983,36.5,44,31.9,39.7,31.5,30,595.4
316,5,316_5,1305,127.2,1106.7,52.204,50.569,48.743,50.183,51.051,47.85,867.174,697.004,177,223,375,419,588,642,728,776,894,942,1039,1096,1024,1153,51.4,48.9,46.1,46.9,46.9,43.5,823
317,1,317_1,374,133.71429,150.8,5,5.8,6.06,7.038,9.486,5.15,114.525,96.294,16,20,64,85,106,111,245,259,279,290,318,322,242,278,5,5.8,6,6.9,9.3,5,112.8
317,2,317_2,431,133.71429,264.9,11.9,12.676,15.352,13.26,11.026,5.871,198.653,160.655,39,58,96,113,138,154,248,260,284,301,330,359,242,284,11.9,12.6,15.2,13,10.8,5.7,195.7
317,3,317_3,744,133.71429,523.5,32.8,29.997,19.176,20.8,15.122,16.248,405.037,310.645,51,87,148,175,224,258,413,439,479,505,563,622,401,475,32.8,29.7,18.8,20,14.5,15.4,392.3
317,4,317_4,1080,133.71429,818.9,33.308,38.524,27.309,35.51,31.672,35.352,656.9,517.02,81,127,270,305,366,414,648,681,749,800,882,918,631,738,33.2,37.7,26.5,33.5,29.6,32.6,625.8
317,5,317_5,1271,133.71429,1138.5,49.894,48.101,45.274,53.367,44.561,45.87,916.763,740.323,119,170,343,383,463,507,760,807,899,952,1053,1098,739,865,49.4,46.7,43.5,49.8,40.9,41.7,866.5
318,1,318_1,252,148.83721,116.7,4.2,3,7.1,7.145,4.242,4.896,87.037,67.351,27,41,63,65,71,85,94,108,117,131,212,223,198,222,4.2,3,7.1,7.1,4.2,4.8,86.3
318,2,318_2,384,148.83721,228.2,8,6.3,10.302,10.302,4.864,9.26,182.302,136.158,58,65,87,95,115,125,151,161,187,207,294,314,274,311,8,6.3,10.2,10.2,4.8,9,179.7
318,3,318_3,712,148.83721,385.9,16.756,11.009,15.198,15.347,13.937,12.495,311.676,249.344,100,121,164,182,235,264,311,340,388,405,557,592,529,599,16.6,10.9,14.9,14.9,13.5,11.9,303.2
318,4,318_4,937,148.83721,790.2,24.846,22.644,21.218,21.424,17.955,33.598,681.384,496.178,138,165,225,248,309,341,411,443,511,537,721,756,700,793,24.6,22.2,20.6,20.6,17.1,31.4,653.7
318,5,318_5,1122,148.83721,1059.8,36.312,33.066,36.419,36.855,29.574,42.647,899.004,672.871,167,208,291,324,389,431,509,551,630,665,876,917,848,959,35.9,32.2,35.1,35.1,27.9,39.3,854.3
319,1,319_1,212,136.06299,104.6,4.2,3.5,6.331,6.363,4.04,3.03,77.752,70.56,19,33,43,50,96,104,121,129,157,159,174,176,89,109,4.2,3.5,6.3,6.3,4,3,77.3
319,2,319_2,334,136.06299,220.4,4.4,5.9,9.494,9.494,12.24,11.934,169.833,151.396,21,37,56,69,140,152,186,198,233,243,283,298,131,162,4.4,5.9,9.4,9.4,12,11.7,167.6
319,3,319_3,618,136.06299,409.9,6.3,14.544,13.158,13.287,19.448,22.68,331.513,291.121,46,81,135,152,278,298,339,359,427,449,515,539,265,325,6.3,14.4,12.9,12.9,18.7,21.6,323.1
319,4,319_4,839,139.84252,678.6,22.4,28.583,25.831,26.009,27.248,32.528,540.179,496.519,47,72,170,200,390,422,482,514,592,622,716,745,369,452,22.4,28.3,24.9,24.9,25.8,30.4,521.9
319,5,319_5,1057,139.84252,1020.4,31.901,32.538,44.422,44.928,53.072,55.152,808.889,714.69,62,101,212,251,480,520,589,629,727,772,891,936,452,556,31.9,31.9,42.5,42.5,49.6,50.7,771.3
320,1,320_1,166,92.72727,128.9,5,5,5.5,10.3,11.716,9.09,82.886,72.786,9,13,19,23,29,38,80,92,120,135,149,157,77,92,5,5,5.4,10.3,11.6,9,82.6
320,2,320_2,427,92.72727,301.1,14.7,15.3,14.746,19.686,22.866,21.218,197.966,172.755,18,47,80,97,124,143,244,265,315,334,360,382,236,277,14.7,15.3,14.6,19.3,22.2,20.6,194.4
320,3,320_3,599,92.72727,498.2,11.7,25.379,22.018,28.531,51.376,44.52,329.08,281.935,21,56,92,121,157,181,331,362,440,471,522,554,318,375,11.7,25.2,21.8,27.7,49.4,42.4,320
320,4,320_4,823,92.72727,791.8,36.2,43.733,41.412,42.765,59.784,71.048,527.603,465.905,30,75,126,175,228,276,455,503,615,662,712,754,432,513,36.2,43.3,40.6,41.1,56.4,66.4,507.8
320,5,320_5,860,92.72727,882.5,39.9,55.651,42.024,42.612,62.964,73.616,601.23,526.587,38,84,137,189,253,298,486,529,641,685,739,783,466,551,39.9,55.1,41.2,40.7,59.4,68.8,577.4
321,1,321_1,396,143.26531,165,5,5.534,11.413,8.29,5.1,9.486,122.461,89.341,58,62,89,116,153,164,190,208,224,228,278,289,276,313,5,5.5,11.3,8.2,5,9.3,120.7
321,2,321_2,691,143.26531,305.5,15.08,7.676,15.3,16.995,15.704,13.44,229.902,182.196,94,108,164,194,276,288,332,366,438,462,547,575,543,610,15,7.6,15,16.5,15.1,12.8,223.5
321,3,321_3,878,143.26531,609.4,22.119,8.772,31.741,21.635,26.355,36.273,487.297,382.74,126,155,244,284,392,419,468,503,569,597,702,732,695,781,21.9,8.6,30.6,20.8,25.1,33.9,468.5
321,4,321_4,1295,143.26531,953.7,29.436,17.51,45.045,36.062,42.012,49.83,789.663,617.183,171,209,350,393,540,582,665,711,836,875,1046,1089,1032,1158,29.1,17,42.9,34,38.9,45.3,746.5
321,5,321_5,1455,143.26531,1248.6,38.976,27.215,57.24,43.928,73.684,63.36,1024.053,809.223,193,241,395,458,622,676,765,816,916,971,1141,1188,1125,1265,38.3,26.2,54,41,67.6,57.6,963.9
322,1,322_1,287,140.16,126,3.4,4.1,7.373,3.232,9.588,6.426,93.27,85.212,33,39,63,76,101,109,129,151,204,213,244,252,202,228,3.4,4.1,7.3,3.2,9.4,6.3,92.3
322,2,322_2,403,140.16,282,8.9,6.4,17.17,7.125,18.593,9.682,218.446,198.761,41,57,82,100,151,164,195,219,296,311,361,373,292,331,8.9,6.4,17,7,18.1,9.4,215.2
322,3,322_3,682,140.16,633.6,22.824,13.938,23.664,25.853,33.594,37.948,494.848,457.854,90,116,176,196,260,280,327,349,493,511,609,643,485,552,22.7,13.8,23.2,25.1,32.1,35.8,480.9
322,4,322_4,1002,140.16,913.1,28.987,24.276,32.548,28.662,44.405,44.921,750.856,686.288,120,152,227,266,368,400,473,516,733,764,888,931,722,822,28.7,23.8,31.6,27.5,41.5,41.3,718.7
322,5,322_5,1089,140.16,1027.9,32.825,29.376,41.321,34.125,51.256,37.265,852.056,778.336,117,149,232,267,383,423,506,545,788,828,973,1012,776,883,32.5,28.8,39.9,32.5,47.6,34.1,812.5
323,1,323_1,415,149.30233,166.5,4,5.927,10.072,6.222,8.519,9.167,125.41,109.215,67,70,87,109,195,209,254,269,298,307,340,356,295,335,4,5.9,9.9,6.1,8.3,8.9,123.4
323,2,323_2,582,149.30233,341.2,16,9.292,14.382,17.201,15.496,14.872,262.035,227.796,75,88,146,171,252,271,339,354,425,445,484,499,420,477,16,9.2,14.1,16.7,14.9,14.3,256
323,3,323_3,959,149.30233,620,23.735,19.176,21.84,24.135,16.05,26.212,515.131,443.754,106,141,250,296,409,448,570,605,717,745,797,835,704,798,23.5,18.8,21,22.9,15,24.3,494.5
323,4,323_4,1286,149.30233,1085,39.491,30.385,37.59,48.899,42.292,39.93,906.655,773.555,145,182,326,374,511,558,702,738,920,961,1061,1109,904,1031,39.1,29.5,35.8,45.7,38.8,36.3,859.8
323,5,323_5,1533,149.30233,1357.2,49.135,34.32,66.947,51.733,49.72,45.76,1146.945,987.335,180,242,426,482,653,707,885,923,1151,1202,1299,1362,1131,1280,48.3,33,63.1,47.7,45.2,41.6,1078.3
324,1,324_1,255,126.95652,123.4,3,3.6,6,6.363,5.757,7.07,92.447,70.347,45,47,59,67,93,98,116,124,145,156,180,185,91,115,3,3.6,6,6.3,5.7,7,91.8
324,2,324_2,387,126.95652,236.6,9,6.323,12.12,10.782,10.302,21.63,170.035,128.938,65,71,97,105,150,161,198,213,249,273,304,315,146,182,9,6.3,11,9.6,9.1,19,172.6
324,3,324_3,638,126.95652,455.5,17.372,13.647,11.433,31.346,19.76,24.255,351.219,271.554,101,117,198,223,307,327,393,423,461,482,527,545,300,362,16.2,13.4,11.1,29.2,18,21.1,346.5
324,4,324_4,862,126.95652,704.7,29.795,26.124,26.26,37.485,27.56,51.855,534.561,416.958,124,155,266,303,394,430,512,543,606,633,699,737,384,467,27.5,25.6,25.3,33.7,25,45.5,522.1
324,5,324_5,981,126.95652,881.3,32.926,34.196,38.698,47.215,36.989,57.564,675.811,535.095,146,181,319,360,463,501,594,631,696,728,808,846,450,548,30.6,33.2,36.2,42.6,32.6,50.3,655.8
325,1,325_1,129,116.86957,94.9,3,4,6.3,6,5.6,3.2,66.978,50,5,7,11,14,28,35,46,50,66,76,87,100,64,74,3,4,6.3,6,5.6,3.2,66.8
325,2,325_2,259,116.86957,244.9,9,10,15,14.544,15.15,7.406,175.53,153.386,20,28,41,49,88,97,112,124,163,174,197,213,160,184,9,10,15,14.4,15,7.3,174.2
325,3,325_3,432,118.95652,469.2,15.1,16.1,30.3,26.159,28.56,19.776,340.739,288.133,26,41,65,79,128,147,176,198,277,298,346,367,268,310,15.1,16.1,30,25.9,28,19.2,334.9
325,4,325_4,705,118.95652,821,23.2,36.562,53.244,51.088,47.068,44.998,589.779,500.792,48,72,116,149,223,261,313,350,469,506,584,614,452,522,23.2,36.2,52.2,49.6,45.2,42.7,571.9
325,5,325_5,778,118.95652,1017.1,31.2,40.501,60.482,54.57,58.905,52.788,755.404,629.175,63,95,148,184,273,312,366,406,523,561,648,678,506,582,31.2,40.1,59.1,52.9,56.1,49.8,727.9
326,1,326_1,312,167.04,150.4,3,3,7.3,6.666,6.699,7.446,117.779,93.89,5,7,31,33,70,78,148,159,195,206,237,245,193,223,3,3,7.3,6.6,6.6,7.3,116.6
326,2,326_2,476,167.04,289.8,10,11.2,10.403,10.812,11.33,10.806,231.153,179.767,9,17,66,78,164,175,276,296,346,356,400,420,342,388,10,11.2,10.3,10.6,11,10.4,226.3
326,3,326_3,885,167.04,614.5,22.8,17.776,23.175,22.47,23.32,23.219,507.761,422.85,22,48,154,184,342,369,534,556,648,681,761,782,640,726,22.8,17.6,22.5,21.4,22,21.7,486.5
